Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,1,0,24,0,49.2426605224609,72.7600021362305,27.2761667569478,1566
0,0,0,25,0,39.0524024963379,79.7600021362305,27.0116666952769,1346
0,0,0,25,0,113.887336730957,34.5200004577637,27.3128334681193,1349
0,0,1,24,0,264.427612304688,18.8400001525879,27.7498333454132,1308
0,0,0,25,0,94.3181610107422,14.8000001907349,27.7403330802917,1300
0,0,0,25,0,94.3181610107422,14.8000001907349,27.7403330802917,1300
0,0,0,25,0,158.029098510742,13.1599998474121,27.7918332417806,1290
0,1,0,24,0,36.7508735656738,21.9599990844727,27.4836665789286,1303
13,11,0,0,0,29.2847099304199,10.960000038147,27.3713332811991,1257
13,11,0,0,0,29.2847099304199,10.960000038147,27.3713332811991,1257
5,10,0,0,0,26.6268615722656,10.3599996566772,27.466500043869,1275
10,14,0,1,0,16.9129772186279,54.3199996948242,27.030833085378,1325
1,0,0,0,24,14.0482864379883,5.07999992370605,27.3678332964579,1258
13,11,0,0,0,29.2847099304199,10.960000038147,27.3713332811991,1257
1,11,0,8,0,38.3365516662598,11.8400001525879,27.5966665744781,1283
1,11,0,8,0,38.3365516662598,11.8400001525879,27.5966665744781,1283
0,3,3,19,0,118.330001831055,14.1199998855591,27.5339997609456,1306
0,3,3,19,0,118.330001831055,14.1199998855591,27.5339997609456,1306
0,8,6,10,0,48.1114387512207,11,27.7673336664836,1282
0,3,3,19,0,118.330001831055,14.1199998855591,27.5339997609456,1306
0,16,4,5,0,42.4068298339844,37.2799987792969,27.2691666285197,1359
0,8,0,17,0,35.5925636291504,18.2399997711182,27.4529997507731,1319
0,11,10,4,0,27.1608123779297,24.0799999237061,27.3284997145335,1336
0,10,10,5,0,26.8810863494873,27.2000007629395,27.2996669610341,1352
0,3,3,19,0,118.330001831055,14.1199998855591,27.5339997609456,1306
0,0,0,25,0,129.953964233398,16.6800003051758,27.8064997990926,1298
0,5,0,20,0,108.05216217041,12,27.7663332621257,1293
24,0,0,0,1,17.9638977050781,8.80000019073486,27.285166422526,1259
0,0,0,25,0,89.6357192993164,17.2399997711182,27.9428332646688,1085
25,0,0,0,0,4.27577209472656,125.800003051758,26.423166513443,1486
2,11,2,5,0,29.6735553741455,10.039999961853,27.8293333053589,1382
0,2,13,10,0,23.3586711883545,43.6800003051758,27.1815000375112,1449
