Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,0,0,25,0,250.20198059082,29.3600006103516,28.1733334064484,1246
0,0,0,25,0,293.292785644531,25.8799991607666,28.2031667232513,1264
0,0,0,25,0,147.270324707031,57.1599998474121,27.8926665782928,1249
0,0,0,25,0,259.801696777344,32.7200012207031,27.5851667722066,1657
0,0,0,25,0,47.7570571899414,201.199996948242,26.8121666113536,1359
0,0,0,25,0,293.292785644531,25.8799991607666,28.2031667232513,1264
0,0,0,25,0,307.457855224609,35.1599998474121,28.0699998537699,1239
0,0,0,25,0,299.663238525391,23.1599998474121,28.1119997501373,1246
0,0,1,2,5,10439.91796875,11.8000001907349,28.176166454951,1348
0,0,1,2,5,10439.91796875,11.8000001907349,28.176166454951,1348
0,0,0,25,0,868.436889648438,9.80000019073486,27.9541668097178,1300
0,0,0,25,0,17.4272041320801,81.4000015258789,27.2953336238861,1421
0,25,0,0,0,12.9309825897217,55.0800018310547,27.157999753952,1659
3,0,0,15,0,106.500076293945,9.23999977111816,27.5129999319712,1289
0,0,0,19,6,190.049499511719,4,27.6191665331523,1338
0,0,0,25,0,130.287521362305,105.440002441406,27.4625000158946,1348
25,0,0,0,0,1.44355022907257,393.160003662109,25.2608331044515,2930
0,0,0,11,14,133.354385375977,6.32000017166138,27.5879999796549,1365
0,0,0,25,0,344.181701660156,13.0799999237061,28.1105000972748,1266
15,0,0,10,0,25.6694679260254,43.9199981689453,27.30366675059,2408
25,0,0,0,0,2.90390300750732,455.600006103516,25.2854999701182,2293
14,0,0,11,0,87.0832672119141,9.07999992370605,27.5633334318797,2947
0,0,0,25,0,86.1971130371094,51.2000007629395,27.7668333848317,1412
6,8,0,11,0,178.428421020508,1.67999994754791,27.6363333861033,3347
25,0,0,0,0,92.2286682128906,430.359985351562,25.2979998588562,1883
6,5,0,14,0,91.5293731689453,209.399993896484,26.3834999402364,1728
22,0,0,3,0,91.5293731689453,353.399993896484,25.6823333104451,1822
10,5,0,10,0,138.649291992188,94,26.9348335266113,1930
0,0,0,25,0,112.401473999023,9.31999969482422,27.9426665306091,1363
0,8,0,17,0,58.6475296020508,109.360000610352,26.898833433787,1876
9,2,0,14,0,82.3022994995117,329.480010986328,25.7816666762034,1794
6,5,0,14,0,91.5293731689453,209.399993896484,26.3834999402364,1728
0,0,0,25,0,221.079208374023,33,27.4709997971853,2099
0,0,0,25,0,365.699371337891,24.3199996948242,27.5898334185282,1989
0,0,0,25,0,385.679412841797,3.27999997138977,27.6673333644867,1390
0,0,0,25,0,72.2362518310547,75.5199966430664,27.5004997253418,1467
0,0,0,25,0,210.843231201172,27.8400001525879,27.8501669565837,1329
0,0,0,25,0,279.43359375,57.4799995422363,27.6786666711171,1269
0,0,0,25,0,255.864593505859,23.0400009155273,27.838166475296,1329
0,0,0,25,0,39.3246154785156,81.7200012207031,27.3888332843781,1533
0,1,0,24,0,20.7992115020752,102.559997558594,27.0918331940969,1633
0,5,0,20,0,57.9824256896973,111.160003662109,26.9509999752045,1840
25,0,0,0,0,1.55049073696136,677.119995117188,23.9363333384196,2199
0,5,0,20,0,57.9824256896973,111.160003662109,26.9509999752045,1840
24,1,0,0,0,112.365608215332,185.199996948242,26.4704998334249,2096
0,8,0,17,0,58.6475296020508,109.360000610352,26.898833433787,1876
0,8,0,17,0,58.6475296020508,109.360000610352,26.898833433787,1876
25,0,0,0,0,37.3353958129883,329.160003662109,25.7356665929159,2095
9,16,0,0,0,2.81250047683716,220.679992675781,26.1876665751139,1863
12,4,0,9,0,174.471710205078,147.600006103516,26.6591664950053,2037
3,13,0,9,0,24.2395896911621,195.559997558594,26.5361665884654,1760
10,5,0,10,0,138.649291992188,94,26.9348335266113,1930
25,0,0,0,0,4.41509342193604,546.559997558594,24.7105001608531,1879
14,11,0,0,0,2.56084632873535,336.880004882812,25.6646666526794,1915
1,0,0,24,0,53.9441375732422,68.3199996948242,27.2756667137146,1599
25,0,0,0,0,1.32137370109558,640.159973144531,24.1458332538605,2078
25,0,0,0,0,4.41509342193604,546.559997558594,24.7105001608531,1879
16,0,0,9,0,22.7250061035156,277.679992675781,26.1038335164388,1765
13,0,0,5,0,41.4492721557617,7.3600001335144,27.5491664409637,2708
12,2,0,11,0,15.3333082199097,302.239990234375,26.0558333396912,1796
24,0,0,1,0,28.0360279083252,386.600006103516,25.6313331921895,1883
16,0,0,9,0,22.7250061035156,277.679992675781,26.1038335164388,1765
25,0,0,0,0,0.419584602117538,496.760009765625,25.0069999694824,2050
0,0,0,25,0,81.991943359375,74.9199981689453,27.4618334770203,1572
0,0,0,25,0,162.063827514648,73.7200012207031,27.4374999205271,1542
0,0,0,25,0,213.652847290039,49.7999992370605,27.8561666806539,1326
0,2,0,23,0,43.6723899841309,107.120002746582,27.030500014623,1636
0,0,0,25,0,230.533843994141,51.1199989318848,27.7063335577647,1478
0,0,0,25,0,149.814453125,83.5599975585938,27.5334998766581,1440
0,0,0,25,0,196.143646240234,43.6800003051758,27.6726667086283,1494
0,0,0,25,0,95.6921463012695,72.9199981689453,27.4655000368754,1499
