Land_cover_forests_RABV_CA_04,Land_cover_savannas_RABV_CA_04,Land_cover_grasslands_RABV_CA_04,Land_cover_croplands_RABV_CA_04,Land_cover_water_RABV_CA_04,Human_pop_density_RABV_CA_04,Elevation_RABV_CA_04,Annual_mean_temperature_RABV_CA_04,Annual_precipitation_RABV_CA_04
0,0,0,25,0,208.598907470703,13.039999961853,28.0081662336985,1660
0,0,10,15,0,85.8575668334961,11.5200004577637,27.9568333625793,1698
0,0,0,21,4,307.604125976562,8.88000011444092,27.820499976476,1379
0,0,0,16,8,146.915802001953,7.67999982833862,27.5056665738424,1442
0,0,0,21,4,307.604125976562,8.88000011444092,27.820499976476,1379
0,0,0,20,5,116.932647705078,9.31999969482422,27.4576663970947,1618
1,0,0,0,24,26.9551048278809,7.40000009536743,27.3643332322439,1593
0,0,0,12,13,174.68717956543,13.1599998474121,27.3833334445953,1580
0,0,0,2,23,62.078987121582,6.48000001907349,27.339833577474,1473
1,2,18,3,0,44.8382110595703,9.64000034332275,27.8174997965495,1673
0,0,0,0,24,111.369178771973,7.48000001907349,27.3461666901906,1381
0,0,0,0,24,120.832801818848,8.11999988555908,27.499666372935,1297
0,0,0,25,0,233.604858398438,10.7200002670288,27.6375001271566,1531
0,0,0,8,17,194.068389892578,7.03999996185303,27.5568334261576,1421
0,0,0,2,23,79.8378372192383,6.48000001907349,27.376833041509,1408
5,0,0,0,13,33.0659332275391,7.3600001335144,27.3176664511363,1599
0,0,0,0,0,89.8115005493164,7.15999984741211,27.4248333772024,1631
4,0,0,0,7,31.5956916809082,7.28000020980835,27.3593334356944,1626
0,0,0,25,0,114.05297088623,24.8799991607666,28.1671669483185,1441
0,0,0,17,8,193.980575561523,8.96000003814697,27.6681667963664,1340
0,0,0,25,0,145.679733276367,8.15999984741211,27.8568334579468,1430
0,0,0,16,9,91.5600814819336,8.4399995803833,27.6593331495921,1489
0,0,0,11,13,134.735275268555,8.64000034332275,27.3328332901001,1464
0,0,0,22,0,275.578460693359,10.4399995803833,27.3651663462321,1501
0,0,0,19,0,284.364044189453,12.7600002288818,27.4363332589467,1509
0,0,0,25,0,132.294860839844,9.35999965667725,27.8581666946411,1458
0,0,0,16,9,91.5600814819336,8.4399995803833,27.6593331495921,1489
0,0,0,0,25,97.6773071289062,5.55999994277954,27.4469997882843,1481
0,0,0,16,9,91.5600814819336,8.4399995803833,27.6593331495921,1489
0,0,0,25,0,94.0767211914062,12,27.9804999828339,1681
0,0,21,4,0,55.0971031188965,10.7200002670288,27.9459997812907,1684
0,0,3,22,0,98.355842590332,11.8400001525879,27.9604999224345,1690
0,0,3,22,0,98.355842590332,11.8400001525879,27.9604999224345,1690
0,0,0,25,0,168.342239379883,14.8400001525879,27.923999786377,1693
0,0,0,25,0,69.8368072509766,22.2800006866455,27.5339999993642,1625
0,0,0,25,0,94.0767211914062,12,27.9804999828339,1681
0,0,10,15,0,85.8575668334961,11.5200004577637,27.9568333625793,1698
0,0,0,25,0,168.342239379883,14.8400001525879,27.923999786377,1693
0,0,0,25,0,168.342239379883,14.8400001525879,27.923999786377,1693
5,10,2,8,0,24.1962356567383,56.0800018310547,26.9163335959117,1435
0,0,0,25,0,182.110656738281,22.3199996948242,27.7094999154409,1768
0,0,0,25,0,94.0767211914062,12,27.9804999828339,1681
0,0,0,25,0,136.454971313477,20.8400001525879,27.9304998715719,1762
0,0,0,25,0,136.454971313477,20.8400001525879,27.9304998715719,1762
0,0,1,23,0,173.476608276367,10.8800001144409,27.8224999109904,1643
0,0,0,25,0,146.0234375,28.5200004577637,27.6946664651235,1789
0,0,0,25,0,160.542846679688,49.6800003051758,27.33899974823,1770
0,0,0,18,0,58.2014274597168,19.8799991607666,27.3790000279744,1710
9,0,1,15,0,18.7468185424805,50.5999984741211,26.8356664975484,1768
0,0,0,25,0,94.0767211914062,12,27.9804999828339,1681
0,0,0,25,0,94.0767211914062,12,27.9804999828339,1681
0,0,0,25,0,259.179077148438,23.2800006866455,28.0966664950053,1764
0,0,0,25,0,228.176895141602,23.2800006866455,28.0966664950053,1764
5,1,0,19,0,108.90746307373,71.0800018310547,27.2888334592183,1854
0,0,0,25,0,244.623748779297,40.8800010681152,27.8111667633057,1704
0,0,0,3,22,97.7419891357422,6.28000020980835,27.3725001017253,1487
0,0,0,25,0,76.2778167724609,64.1999969482422,27.5423334439596,1783
0,0,0,25,0,115.69221496582,72.6399993896484,27.4409998257955,1800
0,0,0,25,0,221.170532226562,16.3199996948242,27.997000058492,1674
0,0,0,25,0,136.518203735352,53.0400009155273,27.6068333784739,1821
0,0,0,25,0,268.407165527344,44.3600006103516,27.6406664848328,1793
0,0,0,25,0,218.073501586914,46.4000015258789,27.6173331737518,1826
0,0,0,25,0,168.342239379883,14.8400001525879,27.923999786377,1693
0,0,0,25,0,427.537536621094,60.439998626709,27.5153333346049,1830
0,0,0,25,0,427.537536621094,60.439998626709,27.5153333346049,1830
0,0,11,14,0,46.1907539367676,19.6399993896484,27.3633334636688,1728
0,0,0,25,0,115.69221496582,72.6399993896484,27.4409998257955,1800
0,0,0,8,17,194.068389892578,7.03999996185303,27.5568334261576,1421
0,0,0,8,17,194.068389892578,7.03999996185303,27.5568334261576,1421
0,0,0,16,9,477.89013671875,9,27.5404999256134,1353
0,0,0,21,0,435.504486083984,9,27.609833240509,1319
3,0,0,15,0,106.500076293945,9.23999977111816,27.5129999319712,1289
1,0,0,5,5,67.5188064575195,8.27999973297119,27.4026665687561,1512
0,0,0,25,0,187.345489501953,32.5999984741211,27.992333094279,1618
0,0,0,13,11,79.8378372192383,9.64000034332275,27.6335000197093,1421
1,0,5,5,0,26.2377662658691,10.0799999237061,27.4214999675751,1460
0,0,0,25,0,145.790710449219,36.3199996948242,28.1293331782023,1426
0,0,0,6,19,238.393798828125,7.88000011444092,27.5616664886475,1288
0,0,0,25,0,49.4250335693359,88.5199966430664,27.5365001360575,1418
0,4,0,21,0,13.0001039505005,149.960006713867,26.8676666418711,1402
0,0,0,25,0,59.2503547668457,59.5999984741211,27.9313328266144,1437
0,0,0,19,0,844.860656738281,11.039999961853,27.569166580836,1364
0,4,0,21,0,36.3044700622559,40.7200012207031,27.0824999809265,1771
0,0,0,21,4,192.030364990234,11.5200004577637,27.3760000864665,1451
0,0,0,8,17,336.905303955078,9.15999984741211,27.4526665210724,1382
0,0,0,14,9,108.094749450684,5.32000017166138,27.460999806722,1333
0,0,0,8,17,336.905303955078,9.15999984741211,27.4526665210724,1382
1,0,0,13,8,138.507568359375,8.23999977111816,27.4191664854685,1459
0,0,0,12,12,174.669982910156,8.4399995803833,27.32066655159,1435
2,0,1,22,0,87.8352813720703,90.6800003051758,27.3103331724803,1864
0,0,0,8,13,154.274108886719,8.07999992370605,27.3641666571299,1425
0,0,0,11,13,134.735275268555,8.64000034332275,27.3328332901001,1464
0,0,0,11,13,134.735275268555,8.64000034332275,27.3328332901001,1464
0,0,0,25,0,161.520355224609,12.039999961853,27.8255002498627,1604
0,0,0,25,0,202.935897827148,10.5200004577637,27.6124998728434,1563
0,0,0,25,0,43.6403884887695,92.4800033569336,27.3841665585836,1765
0,0,0,24,1,71.6348495483398,7.84000015258789,27.5673333009084,1407
0,0,0,18,3,174.574478149414,8.88000011444092,27.4301666418711,1336
0,0,0,8,17,194.068389892578,7.03999996185303,27.5568334261576,1421
0,0,0,25,0,233.604858398438,10.7200002670288,27.6375001271566,1531
0,0,0,25,0,145.679733276367,8.15999984741211,27.8568334579468,1430
0,0,0,18,7,286.433166503906,11.3199996948242,27.3504998683929,1467
0,0,0,22,0,275.578460693359,10.4399995803833,27.3651663462321,1501
0,0,0,18,7,286.433166503906,11.3199996948242,27.3504998683929,1467
0,0,0,18,7,286.433166503906,11.3199996948242,27.3504998683929,1467
0,0,0,14,11,304.684753417969,10.8000001907349,27.3271666367849,1438
0,0,0,25,0,243.429397583008,10.5200004577637,27.6293334166209,1390
0,0,0,8,17,336.905303955078,9.15999984741211,27.4526665210724,1382
0,0,0,25,0,122.651458740234,9.76000022888184,27.8121666908264,1483
0,0,0,19,0,844.860656738281,11.039999961853,27.569166580836,1364
0,0,0,25,0,183.126831054688,13.3599996566772,27.7618333498637,1436
0,0,0,25,0,111.570686340332,36.3600006103516,27.8128334681193,1796
25,0,0,0,0,18.8378734588623,68.5999984741211,26.6611665884654,1670
0,0,0,25,0,111.381492614746,25.1599998474121,27.4184998671214,1600
25,0,0,0,0,23.1803703308105,78.4800033569336,26.5733331839244,1653
1,1,18,5,0,14.1381692886353,37.1599998474121,27.1453332901001,1691
23,0,1,1,0,12.2003164291382,67.3199996948242,26.7131667137146,1685
25,0,0,0,0,7.80477666854858,65.2399978637695,26.6918330192566,1699
23,0,1,1,0,12.2003164291382,67.3199996948242,26.7131667137146,1685
0,0,5,20,0,12.5565576553345,39.4000015258789,27.0711666742961,1696
25,0,0,0,0,28.5517807006836,72,26.6030000845591,1759
11,0,0,13,0,117.982833862305,34.8400001525879,27.3956665992737,1726
0,0,0,25,0,62.8748435974121,6.19999980926514,27.7181667486827,1396
0,0,0,25,0,141.807693481445,19.9599990844727,27.6836666266123,1694
25,0,0,0,0,12.5194692611694,70.879997253418,26.5601665178935,1725
9,0,0,16,0,104.297790527344,101.919998168945,27.0878333250682,1803
0,7,0,18,0,100.463539123535,108.160003662109,26.5535000960032,1725
16,1,0,8,0,9.48008251190186,77.5599975585938,26.635999917984,1715
25,0,0,0,0,9.43673706054688,68.8000030517578,26.6556665102641,1690
25,0,0,0,0,23.1803703308105,78.4800033569336,26.5733331839244,1653
25,0,0,0,0,9.43673706054688,68.8000030517578,26.6556665102641,1690
22,3,0,0,0,30.5157032012939,90.4000015258789,26.5703334013621,1672
25,0,0,0,0,6.9759316444397,96.8399963378906,26.390000184377,1704
25,0,0,0,0,6.15835905075073,105.040000915527,26.3508334159851,1681
25,0,0,0,0,0.576745510101318,126.519996643066,26.2359999020894,1736
0,0,0,10,11,357.076049804688,9.35999965667725,27.4721666177114,1323
0,0,0,25,0,505.968109130859,8.64000034332275,27.9196666876475,1287
0,0,0,24,0,234.743453979492,13.039999961853,27.9653333028158,1271
0,0,0,25,0,292.458618164062,38.9599990844727,27.849666595459,1247
0,0,0,25,0,255.889587402344,18.9599990844727,28.2016665935516,1268
0,0,0,13,2,3185.0107421875,9.11999988555908,27.9426666895549,1305
0,0,0,25,0,868.436889648438,9.80000019073486,27.9541668097178,1300
0,0,0,25,0,196.466003417969,12.6000003814697,27.7875001430511,1412
0,0,0,25,0,445.251312255859,21.4799995422363,28.015499830246,1267
0,0,0,25,0,537.153503417969,24.5599994659424,28.0501662095388,1254
0,0,0,17,0,313.587677001953,9.35999965667725,27.5768330891927,1313
0,0,0,17,0,313.587677001953,9.35999965667725,27.5768330891927,1313
0,1,0,24,0,34.7089385986328,48.8400001525879,26.8346666495005,1772
0,0,0,25,0,210.003601074219,13.3199996948242,27.5378332138062,1880
0,0,0,25,0,196.143646240234,43.6800003051758,27.6726667086283,1494
0,0,0,25,0,495.101196289062,18.3999996185303,27.992000023524,1279
1,0,0,24,0,51.4103813171387,156,26.8608333269755,1532
0,0,0,25,0,66.3419876098633,108.360000610352,27.1205000082652,1572
0,0,0,25,0,206.064849853516,107.279998779297,27.1693332990011,1612
0,0,0,25,0,244.209091186523,39.9599990844727,27.4476665655772,1422
0,0,0,25,0,208.831726074219,30.3999996185303,27.6698331038157,1363
0,0,0,25,0,330.187835693359,6.92000007629395,27.84916639328,1352
